Time,Source,Dest,Proto,Size,Summary,Payload
12:39:46,172.29.254.244,34.107.243.93,TCP,54,Ether / IP / TCP 172.29.254.244:38964 > 34.107.243.93:https A,No Payload
12:40:04,172.29.254.13,172.29.254.244,UDP,211,"Ether / IP / UDP / DNS Ans ""b'mozilla.map.fastly.net.'"" ",No Payload
12:40:04,172.29.254.244,172.29.254.13,UDP,82,"Ether / IP / UDP / DNS Qry ""b'mozilla.map.fastly.net.'"" ",No Payload
12:40:04,172.29.254.244,151.101.209.91,TCP,74,Ether / IP / TCP 172.29.254.244:46288 > 151.101.209.91:https S,No Payload
12:40:04,172.29.254.13,172.29.254.244,UDP,144,"Ether / IP / UDP / DNS Ans ""b'mc.prod.ads.prod.webservices.mozgcp.net.'"" ",No Payload
12:40:04,172.29.254.13,172.29.254.244,UDP,221,"Ether / IP / UDP / DNS Ans ""b'mc.prod.ads.prod.webservices.mozgcp.net.'"" ",No Payload
12:40:04,172.29.254.244,172.29.254.13,UDP,99,"Ether / IP / UDP / DNS Qry ""b'mc.prod.ads.prod.webservices.mozgcp.net.'"" ",No Payload
12:40:04,172.29.254.13,172.29.254.244,UDP,99,Ether / IP / UDP / DNS Ans ,No Payload
12:40:04,34.36.137.203,172.29.254.244,UDP,1294,Ether / IP / UDP 34.36.137.203:https > 172.29.254.244:42759 / Raw,c60000000103b059a508f6e56c201cde0f7d0044cf596603f3c01ca1b642822421df5f8f20de94187baedce91ebbde9c6070ab6e36bb611d6d367e617bcf3d2a901d62adfe2fddc2b8f4a747804c4e9364ac671ecf7cd02dd8a0f4af44c6293fd34c204fc3ed5cd6cfd8b1011f34012aeb42705a4a304d1048941751016b7bec57b9ecc6a637226ccf08f641b42b4bed7a09f443affc6bb413a9bd4f09e3bda1c5f930e6bed2e3cba0c7096d5ea80211e1c10f1570ab8341a9168758ad93983b99a830cdaeddb78a4a0930a1963c1200e3103a23ae3a24c52ee61de0decb773fdbd088e46f2335d1c59507198ce5911efe7d401c2434be3dd9fe9af9be898cdc9151f29074a2f87d366f524ea5d1f3d7ca16d0f100250dec22b424de51a2bdfbb0973718da528d239a14b94a3ce284d1f183a1ac0e5b40a652f168ea8866c48941775cdfaa5dcbb5c9fd5f61c8a10ae537b6faba3d166d151a29d41feaaa9bb2859bf03b20b3767793fdc87b7a015d40ffbee3bfbeefbed1f3a74daaa6883942978eeffbc231bb12de0ad9d8e13ff30578d43b65ed7b51a692d4ff3695c450e68b49dfc043a676ef9b162362957d9415411736fb0fcc6cbfcd95ad51a90e31203811457ab61418823296a58ec5ca3ab453039a4e3ddbd98645b1869200222a5d1275b117cd09472b92f94f4c411e0d7d84967c4583fd4d9076e855e1c1d24a5c70806285f64c44998534cc33beee2598b6859cc67f084377f689b85587276d1decfe37496e929248d50fad019c4b27933b57e0eaae6147f4a4884bf12152375a60e96d08b7e6c01453b58d466cdaf7c24313366f33f9a41b3ec9cfa098822cf14e5911d5a6a8c1b134e979415c8e025c3f361ed090e56d7cff137d446f968b9a9f69a5ee5691918ec2aadad121e4b34167a7ae0c053b66798adc07d46c26ea3e8b0a401bb6759827a63756136ed943399228f17bf49d64d9d7e4ce293688f6418a5d317334ee5554d4154febd2159285ef123baa938e17d1d6fb004af3551eb7e0576a14c1d34013b1bbffb761fa6e9805f51d92eaada70e2b5c21411432511ae68e6fa3be248b7a032f93c4e98762e70f4cde78a88c834f9f47affc1b2a4affe350efce5040c7b7cde4f536fb5f108c30c8235e888c465200b402d3784236603d7548a3ec6c1d395236f87b45457ce7aec15e49e81c12cf129ca4c82a1216007085f89b4b074bb01ab2d7cc193f50162c8c3402469fae5559544fd93eaf315cdfb54202ff5fea8caab53de8f4abb0a18a43025102ba947dfae5ca7f8b104b830de4b54b52b386eedfcaf51f576132404058d5fb14b3673328c60fcb7cc09b73e997bbb886efdd9bbf85f5899f2e86eb33c0a565dc355f27fa9d8b1e655f2bcec176cb35da929a8262461186723d836bbcef3557ab6bc1d70b4d8c77b88d9341e9583f04e617637a31f4c842e71a4d8c07c6e936dbc851534a6e1f7e5e44a075b089805b168a4df2b3d06d0c3e1628e95d45336298b1180a36cc67029762abbccc58b455b5bb66147130797e451cded89fa20b61c720ff2966647d8e58c9af6cec8fdd0b55870b134d94ba2e1bc5e9c365a203e208429a1440d2e0e69f5aae11c9e3552215a3801011f89a0f7a445e9077ab6f8e7fc6c6ea08242b65bf31d90ed5fa378118887e55f8a4f0ba6f8588efafdfa937deae09e28032237dc3344a8cb4705e2f4f6e310980d6339a410aa70580e09d08b88efa75b187d73ab232a63be99eca88
12:40:04,34.36.137.203,172.29.254.244,UDP,1294,Ether / IP / UDP 34.36.137.203:https > 172.29.254.244:42759 / Raw,c30000000103b059a508f6e56c201cde0f7d0044cff69bca3d39ff8bf0b0d26a1060a5afba8ae7f7562aa06689720af1a388f9b8d65e0ccc7fff8d2a2007793a7218044bbc1862f96161be8a66ea259bbcd51b2a032bd10091a12f298848f33cae6b24174ea45f54e6e03e6f51d5128550f4cf528f8de008a7d10f676036d7b96342a602fb99524f19390915bca1c07599c5850e9fb1e550ad80ce725896cf84499e06c9fb19e03941f226cead3375feedfdbc59f93790353ed3ded12aeefd13c16ab6757d9441f47daf6878ff0dc4ff47790d41aebfa52cb2a560f75a0541372b46e47025ce6a1dd8fea4546982c0a77ba452903809d5b677804385fa0caf2adbce15166cc8dc8749a31008952ef42515ead9c8734bf627c9332f5600660700e094d07e60db7dd94a9129f42529103b23d8fdf1c71d6efbbc7dae0e13b84934d62d4d0f8dd03434cc6fdbb3c9c4334a1d79b9c823adc16b5fdabeae385e9e60ede2ff92fd70e064bd7feb0b5620cc94d2ab99001662170236f9e898b4791bc1381ef9fbfcce9ddaded3de6c0520d7f8e1fb1a9b8627223b7cabdca12e9e6a9cdc7c579e51d53cf127ed3d2199885533acb9ec9aafeb81bb127403b1c4736e2997c281e9926687f8aad30b5e81ed4485af353817ecc66b4292b3fb02d00f3dd09285bdaa7e573b8a867a8779d54bb9d3aaa487f12f5ef83ac8885dbbbbec6f7d84910be02342742bf6e120872059d4ece61294ecaa4b255e55f46454058c0d73c2d26498e3f362cc25e45766b0ef0686c17447e8f2eb0ad4f1ed8a45e582694f793a9b59159fe29ba592d1bec36b0f55f9ebca2a416dc6ad8c97cafb49219e7fae8b1c0b80205f74baa5bb61eb1a7dda19a4a005b4eca2167ce53e00e3a7e68e0a4845c77f339c79a93f1cd4f9b2d366c31c59775fe477ccb19723051db4dd4c73dc63001277865e438556f08a828dd157576f6a53ecf127c01b6d0d1c93458def42e721e8438fcd64c21ba118403b98d5a293269c8c4f85106178c3af673415ddd9985cdb9442ffdfd3d4532e8f44d4bb63998c86905b6f7eed0419530fb4e51e468ba7f9c61c360b8fe87face4a0316ee23ee438b1c5778704dc7c27bfc0f77fb6863d34547c75f07273f7a0b2e54fba416257078f59c518c15e972da9bc8622a9e8d5e2c830c7f95667817a149cd01b6e91b042f08c3aa68a4305e8e3e9f5d94ff203b1983475fc92827fb1097438be6c8693b5a9c004f4c1465d33119d3e10fab3e04ff0bc7213a6e98189140004d0634b2ef2a226dcb2ee17f1c1b2757811f975970cf62ea367158dc8b6effac22cc1bd44988799aff1c1265fd7bc1fbba392f7f4d61f675c3230ad008017e8861923774165ad1d0eb6bbcc8b909aea6c6af30200aa0b984dabd74ada97ac5467efcefd58612b5d3a8d785668cb7c23ee081519bb8ba3e3811786fe0568787fbbf90cd3034295634fcbbe11c1a6f34a824c556b0a3e14d7dab71b9438a4c4384f4b6658def3487978c793276f4d03e6db2beca17cb21f336819ee2de792e484749bb29217842ebbe8c380d5d3127aa6061ff30a4879a43213c53863b0e64eef7673171abe4a4829b35d32e75b89c0b9970b84added9a6527819524594a2f89c8d0e73e7b21d30a070ceacc0f652eadaeddf81b765f0c3d0014ce7ffb9859f763a3d8d392751e1b981b8e63fa8ecc911abcd96d71ee5e539cd13fef59a77d8859e3eca2aa782953810c547cac79442e6ea9ac88d86
12:40:04,34.36.137.203,172.29.254.244,TCP,66,Ether / IP / TCP 34.36.137.203:https > 172.29.254.244:38384 SA,No Payload
12:40:04,172.29.254.244,34.36.137.203,TCP,54,Ether / IP / TCP 172.29.254.244:38384 > 34.36.137.203:https A,No Payload
